Timestamp: 2024-11-09T23:30:26.815Z, Client: 127.0.0.1:63565, Command: READ V.txt
Timestamp: 2024-11-09T23:38:00.159Z, Client: 127.0.0.1:63912, Command: CONNECT
Timestamp: 2024-11-09T23:38:03.417Z, Client: 127.0.0.1:57510, Command: CONNECT
Timestamp: 2024-11-09T23:38:07.775Z, Client: 127.0.0.1:50823, Command: CONNECT
Timestamp: 2024-11-09T23:39:09.701Z, Client: 127.0.0.1:61337, Command: CONNECT
Timestamp: 2024-11-09T23:39:13.047Z, Client: 127.0.0.1:50692, Command: CONNECT
Timestamp: 2024-11-09T23:48:47.233Z, Client: 127.0.0.1:53273, Command: CONNECT
Timestamp: 2024-11-09T23:55:38.232Z, Client: 127.0.0.1:64479, Command: READ V.txt
Timestamp: 2024-11-09T23:58:50.712Z, Client: 127.0.0.1:61327, Command: list
Timestamp: 2024-11-09T23:58:53.534Z, Client: 127.0.0.1:61327, Command: LIST
Timestamp: 2024-11-09T23:59:30.454Z, Client: 127.0.0.1:62610, Command: READ V.txt
Timestamp: 2024-11-09T23:59:54.730Z, Client: 127.0.0.1:62610, Command: APPEND V.txt teksti
Timestamp: 2024-11-10T00:00:13.620Z, Client: 127.0.0.1:62610, Command: CREATE V.html
Timestamp: 2024-11-10T00:00:20.570Z, Client: 127.0.0.1:62610, Command: LIST
Timestamp: 2024-11-10T00:00:28.814Z, Client: 127.0.0.1:59563, Command: READ
Timestamp: 2024-11-10T00:01:06.093Z, Client: 127.0.0.1:62610, Command: LIST
Timestamp: 2024-11-10T15:27:15.593Z, Client: 127.0.0.1:50484, Command: READ V.txt
Timestamp: 2024-11-10T15:28:36.647Z, Client: 127.0.0.1:61462, Command: APPEND V.txt yll sheremeti
Timestamp: 2024-11-10T15:29:24.391Z, Client: 127.0.0.1:50785, Command: APPEND V.txt yll sheremeti
Timestamp: 2024-11-10T15:30:17.941Z, Client: 127.0.0.1:50785, Command: sd
Timestamp: 2024-11-10T15:30:33.359Z, Client: 127.0.0.1:50785, Command: EXECUTE dir
Timestamp: 2024-11-10T15:31:00.461Z, Client: 127.0.0.1:50785, Command: CREATE H.txt
Timestamp: 2024-11-10T15:31:25.582Z, Client: 127.0.0.1:50785, Command: LIST
Timestamp: 2024-11-10T15:31:34.244Z, Client: 127.0.0.1:50785, Command: ERASE 127.0.0.1:50785
Timestamp: 2024-11-10T16:04:02.604Z, Client: 127.0.0.1:60353, Command: READ V.txt
Timestamp: 2024-11-10T16:04:17.093Z, Client: 127.0.0.1:60353, Command: APPEND V.txt Venesa test
Timestamp: 2024-11-10T16:04:30.406Z, Client: 127.0.0.1:60353, Command: EXECUTE dir
Timestamp: 2024-11-10T16:04:56.510Z, Client: 127.0.0.1:60353, Command: CREATE VVV.txt
Timestamp: 2024-11-10T16:05:05.273Z, Client: 127.0.0.1:60353, Command: LIST
Timestamp: 2024-11-10T16:05:43.145Z, Client: 127.0.0.1:60353, Command: LIST
Timestamp: 2024-11-10T16:06:10.788Z, Client: 127.0.0.1:60353, Command: ERASE 127.0.0.1:60068
